season,driver,team,wins,podiums,dnfs,constructor_rank,points,champion
2022,Verstappen,Redbull,15,17,2,1,454,1
2022,Leclerc,Ferrari,3,11,3,2,308,0
2022,Perez,Redbull,2,11,3,1,305,0
2022,Russell,Mercedes,1,8,1,3,275,0
2022,Sainz,Ferrari,1,9,7,2,246,0
2022,Hamilton,Mercedes,0,9,2,3,240,0
2022,Norris,McLaren,0,1,2,5,122,0
2022,Ocon,Alpine,0,0,2,4,92,0
2022,Alonso,Alpine,0,0,6,4,81,0
2022,Bottas,AlfaRomeo,0,0,6,6,49,0
2022,Ricciardo,McLaren,0,0,3,5,37,0
2022,Vettel,AstonMartin,0,0,3,7,37,0
2022,Magnussen,Haas,0,0,5,8,25,0
2022,Gasly,AlphaTauri,0,0,3,9,23,0
2022,Stroll,AstonMartin,0,0,3,7,18,0
2022,Schumacher,Haas,0,0,2,8,12,0
2022,Tsunoda,AlphaTauri,0,0,5,9,12,0
2022,Zhou,AlfaRomeo,0,0,6,6,6,0
2022,Albon,Williams,0,0,5,10,4,0
2022,Latifi,Williams,0,0,5,10,2,0
2022,DeVries,Williams,0,0,0,10,2,0
2022,Hulkenberg,AstonMartin,0,0,0,7,0,0
2023,Verstappen,Redbull,19,21,0,1,575,1
2023,Perez,Redbull,2,9,2,1,285,0
2023,Hamilton,Mercedes,0,6,1,2,234,0
2023,Alonso,AstonMartin,0,8,2,5,206,0
2023,Leclerc,Ferrari,0,6,3,3,206,0
2023,Norris,McLaren,0,7,1,4,205,0
2023,Sainz,Ferrari,1,3,2,3,200,0
2023,Russell,Mercedes,0,2,5,2,175,0
2023,Piastri,McLaren,0,2,3,4,97,0
2023,Stroll,AstonMartin,0,0,4,5,74,0
2023,Gasly,Alpine,0,1,3,6,62,0
2023,Ocon,Alpine,0,1,7,6,58,0
2023,Albon,Williams,0,0,4,7,27,0
2023,Tsunoda,AlphaTauri,0,0,2,8,17,0
2023,Bottas,AlfaRomeo,0,0,3,9,10,0
2023,Hulkenberg,Haas,0,0,2,10,9,0
2023,Ricciardo,AlphaTauri,0,0,0,8,6,0
2023,Zhou,AlfaRomeo,0,0,3,9,6,0
2023,Magnussen,Haas,0,0,5,10,3,0
2023,Lawson,AlphaTauri,0,0,0,8,2,0
2023,Sargeant,Williams,0,0,7,7,1,0
2023,DeVries,AlphaTauri,0,0,2,8,0,0
2024,Verstappen,Redbull,9,14,1,3,437,1
2024,Norris,McLaren,4,13,1,1,374,0
2024,Leclerc,Ferrari,3,13,1,2,356,0
2024,Piastri,McLaren,2,8,0,1,292,0
2024,Sainz,Ferrari,2,6,3,2,290,0
2024,Russell,Mercedes,2,2,2,4,245,0
2024,Hamilton,Mercedes,2,2,2,4,223,0
2024,Perez,Redbull,0,4,5,3,152,0
2024,Alonso,AstonMartin,0,0,2,5,70,0
2024,Gasly,Alpine,0,1,3,6,42,0
2024,Hulkenberg,Haas,0,0,2,7,41,0
2024,Tsunoda,RB,0,2,4,8,30,0
2024,Stroll,AstonMartin,0,0,3,5,24,0
2024,Ocon,Alpine,0,1,2,6,23,0
2024,Magnussen,Haas,0,0,2,7,16,0
2024,Albon,Williams,0,0,6,9,12,0
2024,Ricciardo,RB,0,0,2,8,12,0
2024,Bearman,Haas,0,0,0,7,7,0
2024,Colapinto,Williams,0,0,3,9,5,0
2024,Zhou,KickSauber,0,0,2,10,4,0
2024,Lawson,RB,0,0,1,8,4,0
2024,Bottas,KickSauber,0,0,2,10,0,0
2024,Sargeant,Williams,0,0,2,9,0,0
2024,Doohan,Alpine,0,0,0,6,0,0
